index,SuhuMin,SuhuMax,Hujan,Penguapan,SinarMatahari,KecepatanAnginTerkencang,KecepatanAngin9am,KecepatanAngin3pm,Kelembaban9am,Kelembaban3pm,Tekanan9am,Tekanan3pm,Awan9am,Awan3pm,Suhu9am,Suhu3pm,BersaljuHariIni,BersaljuBesok,PrediksiBersaljuBesok
2,0.40524781341107863,27.2,Tidak,0.08695652173913043,0.7172413793103448,0.21153846153846156,0.2,0.2923076923076923,0.8877551020408162,0.2551020408163265,0.6118067978533119,0.5705882352941174,Tidak,0.125,0.3584905660377358,0.5205811138014527,Tidak,Tidak,Tidak
3,0.6530612244897958,27.0,Tidak,0.07692307692307691,0.46206896551724136,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.5408163265306122,0.39795918367346933,0.46153846153846345,0.43137254901960986,0.875,0.75,0.5849056603773585,0.523002421307506,Tidak,Tidak,Tidak
7,0.5568513119533527,22.4,Tidak,0.07357859531772576,0.2689655172413793,0.1634615384615385,0.13846153846153847,0.16923076923076924,0.5612244897959183,0.4999999999999999,0.6833631484794296,0.6686274509803951,0.875,0.875,0.477088948787062,0.3898305084745761,Tidak,Tidak,Tidak
8,0.7288629737609328,33.7,Tidak,0.19732441471571907,0.7655172413793103,0.3942307692307692,0.3076923076923077,0.36923076923076925,0.5306122448979591,0.31632653061224486,0.4168157423971408,0.37254901960784537,0.625,0.625,0.646900269541779,0.6634382566585956,Tidak,Tidak,Tidak
10,0.3731778425655976,18.2,Tidak,0.026755852842809364,0.35172413793103446,0.1923076923076923,0.16923076923076924,0.23076923076923078,0.9387755102040816,0.4693877551020408,0.763864042933811,0.7431372549019635,0.875,0.875,0.261455525606469,0.3123486682808716,Tidak,Tidak,Tidak
11,0.8309037900874634,30.6,0.6,0.10367892976588629,0.3793103448275862,0.3942307692307692,0.3384615384615385,0.3076923076923077,0.7551020408163265,0.6632653061224489,0.4919499105545633,0.42156862745098067,Ya,Ya,0.6981132075471698,0.5738498789346246,Tidak,Ya,Ya
14,0.3702623906705539,20.3,Tidak,0.08695652173913043,0.8275862068965517,0.1826923076923077,0.1076923076923077,0.26153846153846155,0.7857142857142856,0.6224489795918366,0.6296958855098396,0.6352941176470601,0.875,0.375,0.38274932614555257,0.3341404358353511,Tidak,Tidak,Tidak
17,0.6734693877551019,27.9,Tidak,0.22408026755852842,0.7379310344827585,0.4134615384615385,0.4307692307692308,0.3384615384615385,0.26530612244897955,0.08163265306122448,0.4168157423971408,0.36666666666666714,Tidak,Tidak,0.5633423180592992,0.5520581113801452,Tidak,Tidak,Tidak
18,0.4839650145772594,32.8,Tidak,0.07692307692307691,0.8689655172413793,0.1826923076923077,0.13846153846153847,0.3076923076923077,0.7857142857142856,0.32653061224489793,0.6261180679785348,0.5745098039215684,0.75,0.875,0.5094339622641509,0.6464891041162226,Tidak,Tidak,Tidak
22,0.5481049562682215,22.9,2.2,0.056856187290969896,0.5793103448275863,0.4134615384615385,0.26153846153846155,0.36923076923076925,0.7448979591836734,0.5816326530612245,0.47942754919499464,0.4411764705882355,0.625,0.375,0.4420485175202156,0.3728813559322033,Ya,Tidak,Ya
23,0.7492711370262389,27.1,Tidak,0.13377926421404682,0.7310344827586207,0.33653846153846156,0.36923076923076925,0.46153846153846156,0.6530612244897959,0.4795918367346938,0.44186046511628163,0.44901960784313744,0.625,0.125,0.6172506738544474,0.5084745762711863,Tidak,Tidak,Tidak
